using device: cuda
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.947460174560547 | dt: 17781.67ms | tok/sec:  921.40 | norm: 28.57 | lr: 0.00001000
step70 | loss: 5.653562545776367 | dt: 1413.11ms | tok/sec:  11594.31 | norm: 1.00 | lr: 0.00059999
step71 | loss: 5.61814546585083 | dt: 2004.03ms | tok/sec:  8175.53 | norm: 0.88 | lr: 0.00059999
step72 | loss: 5.584847450256348 | dt: 1412.57ms | tok/sec:  11598.73 | norm: 1.27 | lr: 0.00059999
step73 | loss: 5.780815124511719 | dt: 1998.17ms | tok/sec:  8199.48 | norm: 1.45 | lr: 0.00059999
step74 | loss: 5.868488788604736 | dt: 1405.48ms | tok/sec:  11657.25 | norm: 1.29 | lr: 0.00059999
step75 | loss: 5.67149543762207 | dt: 1999.68ms | tok/sec:  8193.32 | norm: 1.41 | lr: 0.00059999
step76 | loss: 5.6304240226745605 | dt: 1411.64ms | tok/sec:  11606.33 | norm: 1.44 | lr: 0.00059999
step77 | loss: 5.581781387329102 | dt: 2001.30ms | tok/sec:  8186.66 | norm: 1.27 | lr: 0.00059998
step78 | loss: 5.547987937927246 | dt: 1406.16ms | tok/sec:  11651.56 | norm: 1.35 | lr: 0.00059998
step79 | loss: 5.3228302001953125 | dt: 2003.99ms | tok/sec:  8175.70 | norm: 1.36 | lr: 0.00059998
step80 | loss: 5.704276084899902 | dt: 1410.47ms | tok/sec:  11615.95 | norm: 1.71 | lr: 0.00059998
step81 | loss: 5.389168739318848 | dt: 2001.45ms | tok/sec:  8186.08 | norm: 1.31 | lr: 0.00059998
step82 | loss: 5.501309394836426 | dt: 1409.03ms | tok/sec:  11627.89 | norm: 1.48 | lr: 0.00059997
step83 | loss: 5.3676910400390625 | dt: 2029.65ms | tok/sec:  8072.31 | norm: 1.47 | lr: 0.00059997
step84 | loss: 5.276851177215576 | dt: 1817.54ms | tok/sec:  9014.38 | norm: 1.37 | lr: 0.00059997
step85 | loss: 5.502868175506592 | dt: 2555.53ms | tok/sec:  6411.20 | norm: 1.21 | lr: 0.00059997
step86 | loss: 5.667745590209961 | dt: 1548.42ms | tok/sec:  10581.13 | norm: 1.08 | lr: 0.00059996
step87 | loss: 5.493638038635254 | dt: 2151.33ms | tok/sec:  7615.76 | norm: 1.08 | lr: 0.00059996
step88 | loss: 5.451493263244629 | dt: 1455.14ms | tok/sec:  11259.40 | norm: 1.29 | lr: 0.00059996
step89 | loss: 5.364662170410156 | dt: 2076.73ms | tok/sec:  7889.33 | norm: 1.22 | lr: 0.00059995
step90 | loss: 5.34976863861084 | dt: 1427.12ms | tok/sec:  11480.45 | norm: 1.37 | lr: 0.00059995
step91 | loss: 5.347041130065918 | dt: 2029.69ms | tok/sec:  8072.18 | norm: 1.36 | lr: 0.00059995
step92 | loss: 5.267830848693848 | dt: 1425.54ms | tok/sec:  11493.22 | norm: 0.99 | lr: 0.00059994
step93 | loss: 5.495841979980469 | dt: 2029.48ms | tok/sec:  8073.02 | norm: 1.46 | lr: 0.00059994
